group,product,system,server_threads,thread_role,workload,connections,keys,value_bytes,test_seconds,client_seed_mode,qps,avg_ms,p50_ms,p99_ms,p999_ms,p9999_ms,requests,client_cores,server_cores_enclosing_window,host_steal_percent_enclosing_window,connection_errors,source
storage,Dragonfly v1.40.2,dragonfly,16,proactors,SET,2560,1000000000,1024,60,distinct,474634.82,5.39244,3.871,51.455,108.031,155.647,28484469,7.48,13.9884,0.0,0,storage/dragonfly/set-c2560.json
storage,Garnet v2.1.5,garnet,16,minimum thread-pool threads,GET,80,1000000000,1024,60,distinct,218677.25,0.36534,0.303,2.543,4.831,7.455,13120752,3.225,14.6868,0.0,0,storage/garnet/get-c80.json
storage,Garnet v2.1.5,garnet,16,minimum thread-pool threads,GET,160,1000000000,1024,60,distinct,393827.72,0.40562,0.247,3.071,5.951,10.879,23630275,5.673,14.7988,0.0,0,storage/garnet/get-c160.json
storage,Garnet v2.1.5,garnet,16,minimum thread-pool threads,GET,320,1000000000,1024,60,distinct,446366.36,0.7161,0.423,4.223,9.151,20.607,26782958,6.407,14.8413,0.0,0,storage/garnet/get-c320.json
storage,Garnet v2.1.5,garnet,16,minimum thread-pool threads,GET,640,1000000000,1024,60,distinct,404276.06,1.5819,1.319,5.471,13.695,26.879,24259540,6.146,14.9766,0.0,0,storage/garnet/get-c640.json
storage,Garnet v2.1.5,garnet,16,minimum thread-pool threads,GET,1280,1000000000,1024,60,distinct,398502.97,3.21066,2.991,7.583,16.511,27.135,23912773,6.266,15.2262,0.0,0,storage/garnet/get-c1280.json
storage,Garnet v2.1.5,garnet,16,minimum thread-pool threads,GET,2560,1000000000,1024,60,distinct,352533.45,7.25993,6.943,15.039,28.671,36.351,21157602,5.832,14.9119,0.0,0,storage/garnet/get-c2560.json
storage,Garnet v2.1.5,garnet,16,minimum thread-pool threads,SET,80,1000000000,1024,60,distinct,424071.5,0.18838,0.135,1.415,3.311,6.399,25444465,5.933,14.5297,0.0,0,storage/garnet/set-c80.json
storage,Garnet v2.1.5,garnet,16,minimum thread-pool threads,SET,160,1000000000,1024,60,distinct,584665.39,0.27336,0.207,1.431,4.159,7.583,35080256,8.025,15.0067,0.0,0,storage/garnet/set-c160.json
storage,Garnet v2.1.5,garnet,16,minimum thread-pool threads,SET,320,1000000000,1024,60,distinct,701686.53,0.4557,0.303,2.719,5.311,10.111,42102854,9.582,14.9049,0.0,0,storage/garnet/set-c320.json
storage,Garnet v2.1.5,garnet,16,minimum thread-pool threads,SET,640,1000000000,1024,60,distinct,737526.38,0.86724,0.615,4.031,8.191,14.655,44253541,10.25,14.9863,0.0,0,storage/garnet/set-c640.json
storage,Garnet v2.1.5,garnet,16,minimum thread-pool threads,SET,1280,1000000000,1024,60,distinct,751056.78,1.7033,1.383,5.535,12.735,20.863,45072825,10.745,14.9803,0.0,0,storage/garnet/set-c1280.json
storage,Garnet v2.1.5,garnet,16,minimum thread-pool threads,SET,2560,1000000000,1024,60,distinct,720739.68,3.55049,3.247,9.087,22.271,34.815,43251382,10.989,14.6413,0.0,0,storage/garnet/set-c2560.json
